Zeitstempel	Name	Adresse	PLZ	Ort	Website	Spalte 6
02.11.2024 20:24:48	AfricAvenir International e.V.	Kameruner Str. 1	13351	Berlin	http://www.africavenir.org/	Treffpunkt
02.11.2024 20:25:59	VAHA - Stiftung SPI	Torfstraße 20	13353	Berlin	http://stiftung-spi.de/projekte/vaha	Frauen
02.11.2024 20:27:31	Yaar - Bildung, Kultur, Begegnung e.V.	Sprengelstraße 15	13353	Berlin	http://www.yaarberlin.de/	Frauen
02.11.2024 20:29:05	Berliner Obdachlosenhilfe e.V.	Lynarstraße 38	13353	Berlin	http://www.berliner-obdachlosenhilfe.de/	
02.11.2024 20:31:43	LOTSENPROJEKT die brücke	Müllerstraße 158	13353	Berlin	https://www.bildungsmarkt.de/	
02.11.2024 20:35:36	Mieterschutzbund Berlin e.V. - Wedding	Müllerstraße 53	13349	Berlin	http://www.mieterschutzbund-berlin.de/	
02.11.2024 20:38:16	Frauenzukunft e.V.	Genter Straße 74	13353	Berlin	https://www.frauenzukunft-ev.de/	Frauen
02.11.2024 20:39:13	interbüro	Genter Str. 60	13353	Berlin	https://interbrigadas.org/	Treffpunkt
02.11.2024 21:20:04	[U25] Online Suizidprävention	Große Hamburger Straße 18	10115	Berlin	u25@caritas- berlin.de	Einsamkeit, Traurigkeit & Verzweiflung, Kinder & Jugendliche
02.11.2024 21:21:19	Allgemeiner Sozialdienst	Müllerstr. 146	13353	Berlin	asd@ba- mitte.berlin.de	Allgemeine Sozialberatung
02.11.2024 21:22:30	Ambulante Suchtberatung Mitte	Stromstraße 47	10551	Berlin	mitte@vistaberlin.de	Alkohol & Drogen
02.11.2024 21:23:48	ANODE 	Utrechter Str. 29	13347	Berlin	anode@kbsev.de 	Angst & Zwänge, Traurigkeit & Verzweiflung, Beziehung zu anderen Menschen
02.11.2024 21:25:24	AWO Frauenladen	Groninger Str. 28	13347	Berlin	frauenladen@ awo-mitte.de	Frauen, Psychosoziale Beratung, Rechtsberatung
02.11.2024 21:26:56	Berliner Krebsgesellschaft e.V.	Robert-Koch-Platz 7	10115	Berlin	beratung@berliner- krebsgesellschaft.d e	Körperliche Erkrankungen
02.11.2024 21:29:44	Bibliothek Luisenbad	Badstr. 39	13357	Berlin	luisenbad@stb-mitte.de	Hausaufgabenhilfe
02.11.2024 21:38:46	Evas Haltestelle 	Müllerstr. 126	13349	Berlin		Frauen, Wohnungslosigkeit
02.11.2024 21:40:27	Fachstelle für Suchtprävention Berlin	Chausseestraße 128/129	10115	Berlin	https://berlinsuchtpraevention.de	Alkohol & Drogen, Kinder & Jugendliche
02.11.2024 21:41:33	Fachstelle Soziale Wohnhilfe Mitte	Müllerstraße 146	13353	Berlin	https://ba-mitte.berlin.de	Wohnungslosigkeit
02.11.2024 21:43:22	Frauenladen	Nazarethkirchstraße 42	13347	Berlin	frauenladen@frausuchtzukunft.de	Alkohol & Drogen, Frauen
02.11.2024 21:47:22	Mehrgenerationenhaus des Kiez Zentrum Villa Lützow	Lützowstr. 28	10785	Berlin		Frauen, Kinder & Jugendliche, Männer
